beta,abs_m_naive,m2_improved,m4_naive,binder_cumulant
1.60400000,0.68484642,0.39436176,0.33120419,2.12964015
1.60450000,0.68654153,0.39558058,0.33344731,2.13087164
1.60500000,0.68903101,0.39771416,0.33556200,2.12143963
1.60550000,0.69207783,0.40049459,0.33944780,2.11631202
1.60600000,0.69585574,0.40356407,0.34320161,2.10729015
1.60650000,0.69719630,0.40512157,0.34532564,2.10405986
1.60700000,0.70083727,0.40784566,0.34927213,2.09977251
1.60750000,0.70202888,0.40937929,0.35146048,2.09712715
1.60800000,0.70447660,0.41163158,0.35337285,2.08552692
1.60850000,0.70736933,0.41399976,0.35713430,2.08368176
1.60900000,0.70818922,0.41500251,0.35888996,2.08381838
1.60950000,0.71023244,0.41661694,0.36114576,2.08069618
1.61000000,0.71325877,0.41954901,0.36487134,2.07288088
1.61050000,0.71334042,0.41995163,0.36556343,2.07283243
1.61100000,0.71823896,0.42408789,0.37070962,2.06120940
1.61150000,0.71831974,0.42421723,0.37095355,2.06130819
1.61200000,0.71955972,0.42557426,0.37251311,2.05679426
1.61250000,0.72277804,0.42841255,0.37642873,2.05096569
1.61300000,0.72806415,0.43249401,0.38296233,2.04736780
1.61350000,0.72555323,0.43065482,0.38024987,2.05026715
1.61400000,0.73142245,0.43622696,0.38716555,2.03456565
