beta,abs_m_naive,m2_improved,m4_naive,binder_cumulant
1.60400000,0.43540450,0.18072592,0.08755468,2.68063987
1.60450000,0.44624524,0.18817047,0.09340073,2.63783318
1.60500000,0.45871502,0.19630948,0.09966708,2.58624212
1.60550000,0.47083721,0.20504607,0.10636673,2.52989728
1.60600000,0.49344258,0.21969703,0.11818716,2.44862301
1.60650000,0.51354276,0.23416748,0.13023359,2.37503413
1.60700000,0.51975553,0.23879584,0.13440436,2.35700138
1.60750000,0.53935316,0.25253137,0.14626524,2.29356184
1.60800000,0.55083207,0.26123940,0.15449863,2.26384816
1.60850000,0.56531279,0.27165097,0.16354193,2.21618796
1.60900000,0.58519023,0.28683884,0.17732426,2.15522323
1.60950000,0.59036807,0.29137450,0.18160314,2.13904668
1.61000000,0.60420530,0.30158318,0.19173355,2.10806438
1.61050000,0.62229087,0.31507193,0.20517535,2.06683471
1.61100000,0.63111532,0.32228580,0.21178249,2.03895527
1.61150000,0.64212294,0.33160341,0.22154576,2.01476993
1.61200000,0.65050646,0.33838820,0.22874529,1.99766078
1.61250000,0.66052671,0.34618618,0.23693897,1.97704716
1.61300000,0.66986182,0.35467398,0.24604658,1.95595416
1.61350000,0.68118712,0.36352484,0.25549209,1.93334459
1.61400000,0.69051020,0.37192503,0.26523111,1.91740407
