beta,abs_m_naive,m2_improved,m4_naive,binder_cumulant
1.60400000,0.21518035,0.05411631,0.01069579,3.65221703
1.60450000,0.23394577,0.06266096,0.01396323,3.55624684
1.60500000,0.25529700,0.07263997,0.01811246,3.43262215
1.60550000,0.27178877,0.08160532,0.02293146,3.44345768
1.60600000,0.30364716,0.09788533,0.03092142,3.22718793
1.60650000,0.32852507,0.11119363,0.03796678,3.07074615
1.60700000,0.36284582,0.13094548,0.04954263,2.88933597
1.60750000,0.40283272,0.15440019,0.06400328,2.68476697
1.60800000,0.44018540,0.17772318,0.07980076,2.52649735
1.60850000,0.48397741,0.20467019,0.09867402,2.35555724
1.60900000,0.51725264,0.22811924,0.11631415,2.23516039
1.60950000,0.54539210,0.24723716,0.13136453,2.14907020
1.61000000,0.57310985,0.26650208,0.14697187,2.06934555
1.61050000,0.59915596,0.28683229,0.16485676,2.00378296
1.61100000,0.61594499,0.29903002,0.17563722,1.96420570
1.61150000,0.64193929,0.32004489,0.19577436,1.91132271
1.61200000,0.65626307,0.33172701,0.20770687,1.88750971
1.61250000,0.66841029,0.34219266,0.21888095,1.86924657
1.61300000,0.68198730,0.35378116,0.23165604,1.85086280
1.61350000,0.69161235,0.36270708,0.24178856,1.83790757
1.61400000,0.70047401,0.37107960,0.25176175,1.82833416
