beta,abs_m_naive,m2_improved,m4_naive,binder_cumulant
1.60400000,0.58346050,0.29683548,0.20108685,2.28219131
1.60450000,0.59580015,0.30543751,0.21036275,2.25488337
1.60500000,0.59720716,0.30746611,0.21198664,2.24240457
1.60550000,0.60279651,0.31137279,0.21679466,2.23607960
1.60600000,0.61136769,0.31838207,0.22351710,2.20502522
1.60650000,0.61418016,0.32075746,0.22629709,2.19950744
1.60700000,0.62390488,0.32846478,0.23457144,2.17419013
1.60750000,0.62800588,0.33218323,0.23858831,2.16218956
1.60800000,0.63464001,0.33741140,0.24413201,2.14439716
1.60850000,0.63645641,0.33932728,0.24668010,2.14238028
1.60900000,0.64451253,0.34498674,0.25286040,2.12459434
1.60950000,0.64928986,0.35042021,0.25877042,2.10734839
1.61000000,0.65805135,0.35713173,0.26666880,2.09081366
1.61050000,0.66031096,0.35838225,0.26841784,2.08986573
1.61100000,0.66616271,0.36356135,0.27451512,2.07687730
1.61150000,0.67270808,0.36891032,0.28089195,2.06394292
1.61200000,0.67568098,0.37137099,0.28348047,2.05545132
1.61250000,0.68177479,0.37719792,0.29007986,2.03882048
1.61300000,0.68654019,0.38080785,0.29487874,2.03344149
1.61350000,0.68768175,0.38234950,0.29659217,2.02879717
1.61400000,0.69363344,0.38818097,0.30325979,2.01254845
